IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
"0_1p5C,date=2021-20-10T07:49:36-07:52",Canada,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.59,1.59,1.34,1.44,1.279907,0.556925,0.2174353,0.07555522,0.02883728,0.005294091,1.06E-04,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:53",Canada,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.0660587,0.1197346,0.1692759,0.19919014,0.19931863,0.07845899,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:54",Canada,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.728189,1.929675,2.908403,3.295424,3.721686,3.885524,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:55",Canada,iron and steel,EAF with scrap,iron and steel,EAF with scrap,4.78,4.77,4.02,4.32,4.96058,6.45228,7.716794,8.37799,8.628459,8.988426,9.602789,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:56",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0010033,3.00E-04,4.00E-04,5.00E-04,0.113451787,0.8639833,1.982487813,3.114968,3.990634,4.576627,4.373634,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:57",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.00734187,0.05715563,0.25581244,0.86550995,1.75840064,3.2037368,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:58",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,5.62E-06,2.73E-05,8.02E-05,1.29E-04,3.31E-05,5.34E-07,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:59",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,1.33E-06,4.30E-05,1.07E-04,1.52E-04,1.31E-04,2.63E-05,1.30E-07,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:60",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.9181,0.9217,0.9016,1.0652,1.143707,1.005704,0.626922,0.323832,0.1554476,0.03174679,0.001101142,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:61",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.0835111,0.190796,0.3114314,0.445685,0.5618915,0.5255615,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:62",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.123703,0.4171129,0.723842,0.9481481,1.2261696,1.5431748,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:63",Central America and Caribbean,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.28949,0.2912,0.2849,0.3366,0.351884,0.5130801,0.6655284,0.7770478,0.8920959,0.9803662,1.1656433,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:64",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,4.454,4.625,3.376,3.62,4.55056,0.752387,0.4273443,0.19896376,0.0370369,0.00449778,1.69E-05,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:65",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.0872978,0.1939206,0.3749273,0.5744192,0.4553931,0.2865687,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:66",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,1.04598,1.902845,2.931741,3.2015,2.0484819,0.94466428,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:67",Central Asia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.151044,6.67636,8.158848,7.1148236,4.302207,1.6772068,0.523209555,0,0,0,Mt
