IRONSTL production by tech
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.0237692,0.06089459999999999,0.09415309999999999,0.09004473,0.041219469999999994,0.0013597557999999999,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.15673,0.310083,0.3787127,0.2851514,0.07309001999999999,4.7304409999999997E-4,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.0064642,0.46470573000000004,0.57177679,0.45704456,0.24342601,0.04398591200000001,1.1466111E-4,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.264,0.511,0.659,0.737,0.8671,0.812335,0.623586,0.4229881,0.1851176,0.005339298,2.3117984E-5,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0894832,0.2581635,0.5836646000000001,1.0080291,1.1835435,0.8529878,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.112695,0.3809091,0.7821756,1.3568676000000002,2.2004382,3.1221311,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.0833,0.161,0.208,0.233,0.2735285,0.3776557,0.5360940000000001,0.8149836,1.2174055,1.6823725,2.0903317,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,BLASTFUR,iron and steel,BLASTFUR,21.2339,22.6761,17.235,18.22,16.76391,13.76905,8.35992,3.3151650000000004,0.8473680400000001,0.004482281699999999,2.0996971399999998E-6,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.622998,3.5271860000000004,6.4923,6.394236,3.9581649999999997,1.5168839999999997,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0440115,0.1485926,0.1821424,0.10621154000000001,0.0030809933000000003,4.04427866E-6,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.00158983,0.12277157,0.213420582,0.183345717,0.09463114,0.0026793397200000004,1.5638112199999998E-6,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,EAF with DRI,iron and steel,EAF with DRI,2.7214,3.42988,3.4864,3.0739,2.79853,3.393594,2.9427630000000002,1.9322479000000001,0.747665,0.02579555,1.6870213E-4,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.351097,0.8918379999999999,1.396132,1.915205,2.100795,1.3289813000000001,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.487828,1.378302,1.875805,2.3735429999999997,3.106776,3.6619260000000002,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",EU-12,iron and steel,EAF with scrap,iron and steel,EAF with scrap,3.46402,4.37412,4.4375,3.9061,3.6691830000000003,6.329079999999999,8.845435,9.769372,10.436573,11.506304,12.273629,0.0,0.0,0.0,Mt,
