"","Mitigation measure","region","reduction","year"
"381","Price-induced contribution","Global",226.890190495343,"2045"
"382","High scrap use contribution","Global",847.075490845469,"2045"
"383","H2 contribution","Global",435.099165816971,"2045"
"384","CCUS contribution","Global",692.534437845768,"2045"
"385","1p5 emissions","Global",279.515627048457,"2045"
"386","Ref emissions","US",81.7697084279068,"2050"
"387","Energy efficiency contribution","US",11.1514733197952,"2050"
"388","Material efficiency contribution","US",18.0283570870448,"2050"
"389","Price-induced contribution","US",1.76744705352361,"2050"
"390","High scrap use contribution","US",18.1134125916948,"2050"
"391","H2 contribution","US",8.44309895553038,"2050"
"392","CCUS contribution","US",5.79577496666667,"2050"
"393","1p5 emissions","US",0.916530104010971,"2050"
"394","Ref emissions","ROW",592.769018424396,"2050"
"395","Energy efficiency contribution","ROW",67.3669915320983,"2050"
"396","Material efficiency contribution","ROW",105.578719285643,"2050"
"397","Price-induced contribution","ROW",18.8496176182842,"2050"
"398","High scrap use contribution","ROW",64.5394513643484,"2050"
"399","H2 contribution","ROW",73.7743572795023,"2050"
"400","CCUS contribution","ROW",124.167079547383,"2050"
"401","1p5 emissions","ROW",36.7337171011388,"2050"
"402","Ref emissions","China",1496.44840270558,"2050"
"403","Energy efficiency contribution","China",168.235904109891,"2050"
"404","Material efficiency contribution","China",256.86092124047,"2050"
"405","Price-induced contribution","China",155.752579276161,"2050"
"406","High scrap use contribution","China",623.036607043251,"2050"
"407","H2 contribution","China",288.975001078744,"2050"
"408","CCUS contribution","China",121.250521333333,"2050"
"409","1p5 emissions","China",23.5349604558441,"2050"
"410","Ref emissions","EU-27",174.675970884753,"2050"
"411","Energy efficiency contribution","EU-27",22.5950929855621,"2050"
"412","Material efficiency contribution","EU-27",32.5117979807646,"2050"
"413","Price-induced contribution","EU-27",11.7478528773609,"2050"
"414","High scrap use contribution","EU-27",57.8512477853746,"2050"
"415","H2 contribution","EU-27",19.8187655075735,"2050"
"416","CCUS contribution","EU-27",23.7154023333333,"2050"
"417","1p5 emissions","EU-27",4.36207744620464,"2050"
"418","Ref emissions","India",1136.83391674388,"2050"
"419","Energy efficiency contribution","India",68.6637647812775,"2050"
"420","Material efficiency contribution","India",196.039537383165,"2050"
"421","Price-induced contribution","India",62.5322514550433,"2050"
"422","High scrap use contribution","India",155.918199133359,"2050"
"423","H2 contribution","India",122.485463677012,"2050"
"424","CCUS contribution","India",139.294965333333,"2050"
"425","1p5 emissions","India",52.0131913781546,"2050"
"426","Ref emissions","Japan",109.577568366711,"2050"
"427","Energy efficiency contribution","Japan",12.8673358095509,"2050"
"428","Material efficiency contribution","Japan",15.619230103377,"2050"
"429","Price-induced contribution","Japan",9.53442385884416,"2050"
"430","High scrap use contribution","Japan",37.0751572848559,"2050"
"431","H2 contribution","Japan",9.61985752931239,"2050"
"432","CCUS contribution","Japan",23.2036610666667,"2050"
