"","region","scenario","sector","subsector","output","technology","Units","year","share"
"207","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2020,0
"208","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2020,0
"209","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2020,0
"210","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2020,17.6527229842296
"211","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2020,17.6527229842296
"212","Europe","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2020,17.239272961346
"213","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2020,0
"214","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2020,0
"215","Europe","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2020,22.6156095029346
"216","Europe","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2020,22.6156095029346
"217","Europe","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2020,22.126330440209
"218","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2020,0
"219","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2020,0
"220","Europe","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2020,0
"221","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2025,0.329006905927989
"222","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2025,0.0600420733261352
"223","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2025,0.0757066503299352
"224","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2025,49.4980491289447
"225","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2025,57.1898663397965
"226","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2025,61.0913432573395
"227","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2025,0.903568532701675
"228","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2025,0
"229","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2025,0.0515851551745971
"230","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2025,0.0661066694060165
"231","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2025,0.0271586209808238
"232","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2025,18.1817762315859
"233","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2025,17.7365796046762
"234","Europe","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2025,16.7104713908869
"235","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2025,0.959497898810348
"236","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2025,0
"237","Europe","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2025,29.0360719636253
"238","Europe","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2025,24.3490601085811
"239","Europe","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2025,21.9701229227405
"240","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,1.04044418322949
"241","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,0.598345204214003
"242","Europe","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,0.125197157722259
"243","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.721836706810258
"244","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.156449665313206
"245","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.205198972546241
"246","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,30.5285928384257
"247","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,51.2362443706317
"248","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,61.1657445476096
