elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.00141833,0.00440776,0.0083417,0.0126003,0.0168574,0.0208204,0.024687,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,nuclear,electricity,Gen_II_LWR,0.0262116,0.0247428,0.0258156,0.0257004,0.0237508,0.0226368,0.021012,0.0187885,0.0159974,0.0128502,0.00970289,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.00507091,0.0155597,0.0285573,0.0402246,0.0469749,0.0468263,0.0442465,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,refined liquids,electricity,refined liquids (steam/CT),0.0177984,0.0206856,0.0599868,0.0804853,0.0467309,0.0445082,0.0402077,0.0350846,0.0298165,0.0234533,0.0185503,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.00304222,0.0146232,0.023021,0.024376,0.0241118,0.0243615,0.026169,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,6.57416E-7,6.96502E-6,3.46529E-5,1.23265E-4,3.26501E-4,6.74606E-4,0.0012031,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,solar,electricity,PV,0.0,0.0,0.0,5.4E-5,8.44532E-4,0.005942772000000001,0.016330372000000003,0.028255272000000005,0.039012572,0.047977702,0.05513093,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,5.19126E-7,3.3390360000000003E-6,1.3038046E-5,4.1038846000000003E-5,1.03047846E-4,2.0971784599999998E-4,3.7379572E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,wind,electricity,wind,0.0,2.7E-4,9.0E-5,0.0021564,0.00610938,0.02146448,0.04798918,0.08058928,0.11310908,0.14010768,0.16265829999999998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.13766E-5,1.6368359999999999E-4,8.734595999999999E-4,0.0028370296,0.0067155396,0.012737333,0.021327446,0.0,0.0,0.0,EJ,
