"","region","scenario","sector","subsector","input","technology","Units","year","value"
"184","China","1p5 delay","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2025,0.0204677
"185","China","1p5","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2025,0.0736526
"186","China","Ref","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2025,0.000416822
"187","China","1p5 delay","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2025,0.0567905
"188","China","1p5","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2025,0.204359
"189","China","Ref","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2025,0.00115653
"190","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2030,0.09119796
"191","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2030,0.70965041
"192","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2030,0.13990766
"193","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2030,0.002979797
"194","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2030,0.023187093
"195","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2030,0.004571338
"196","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2030,0.00005435611
"197","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2030,0.00042296786
"198","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2030,0.00008338814
"199","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2030,0.00005435611
"200","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2030,0.00042296786
"201","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2030,0.00008338814
"202","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2030,15.78303
"203","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2030,9.94046
"204","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2030,20.72774
"205","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2030,1.621965
"206","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2030,1.021543
"207","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2030,2.130114
"208","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2030,0.00773758
