"","region","scenario","sector","Units","year","emission","value","year "
"269","South Korea","1p5","iron and steel","MTCO2",2025,"value",69.5020729545185,"2025"
"270","South Korea","Ref","iron and steel","MTCO2",2025,"value",91.451898868262,"2025"
"271","South Korea","1p5 delay","iron and steel","MTCO2",2030,"value",76.920074704118,"2030"
"272","South Korea","1p5","iron and steel","MTCO2",2030,"value",44.3087427139242,"2030"
"273","South Korea","Ref","iron and steel","MTCO2",2030,"value",89.8640262004507,"2030"
"274","South Korea","1p5 delay","iron and steel","MTCO2",2035,"value",49.4062698603225,"2035"
"275","South Korea","1p5","iron and steel","MTCO2",2035,"value",23.5052983404723,"2035"
"276","South Korea","Ref","iron and steel","MTCO2",2035,"value",86.8747646821077,"2035"
"277","South Korea","1p5 delay","iron and steel","MTCO2",2040,"value",30.2059872213637,"2040"
"278","South Korea","1p5","iron and steel","MTCO2",2040,"value",14.7478471098518,"2040"
"279","South Korea","Ref","iron and steel","MTCO2",2040,"value",82.6434025007262,"2040"
"280","South Korea","1p5 delay","iron and steel","MTCO2",2045,"value",13.7298244024583,"2045"
"281","South Korea","1p5","iron and steel","MTCO2",2045,"value",7.06601637478832,"2045"
"282","South Korea","Ref","iron and steel","MTCO2",2045,"value",77.2049622136981,"2045"
"283","South Korea","1p5 delay","iron and steel","MTCO2",2050,"value",2.30905787640188,"2050"
"284","South Korea","1p5","iron and steel","MTCO2",2050,"value",2.06017267287719,"2050"
"285","South Korea","Ref","iron and steel","MTCO2",2050,"value",71.3002151584499,"2050"
"286","South Korea","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"287","South Korea","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"288","South Korea","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"289","South Korea","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"290","South Korea","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"291","South Korea","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"292","South Korea","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"293","South Korea","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"294","South Korea","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"295","US","1p5 delay","iron and steel","MTCO2",1990,"value",107.289717333333,"1990"
"296","US","1p5","iron and steel","MTCO2",1990,"value",107.289717333333,"1990"
"297","US","Ref","iron and steel","MTCO2",1990,"value",107.289717333333,"1990"
"298","US","1p5 delay","iron and steel","MTCO2",2005,"value",85.4982444235211,"2005"
"299","US","1p5","iron and steel","MTCO2",2005,"value",85.4982443729065,"2005"
"300","US","Ref","iron and steel","MTCO2",2005,"value",85.4982444235211,"2005"
"301","US","1p5 delay","iron and steel","MTCO2",2010,"value",75.9955998085168,"2010"
"302","US","1p5","iron and steel","MTCO2",2010,"value",75.9955998085168,"2010"
"303","US","Ref","iron and steel","MTCO2",2010,"value",75.9955998085168,"2010"
"304","US","1p5 delay","iron and steel","MTCO2",2015,"value",71.1276386132739,"2015"
"305","US","1p5","iron and steel","MTCO2",2015,"value",71.1276386132739,"2015"
"306","US","Ref","iron and steel","MTCO2",2015,"value",71.1276386132739,"2015"
"307","US","1p5 delay","iron and steel","MTCO2",2020,"value",77.9737401878756,"2020"
"308","US","1p5","iron and steel","MTCO2",2020,"value",77.9737750316723,"2020"
"309","US","Ref","iron and steel","MTCO2",2020,"value",79.3519756830322,"2020"
"310","US","1p5 delay","iron and steel","MTCO2",2025,"value",70.0176685178318,"2025"
"311","US","1p5","iron and steel","MTCO2",2025,"value",55.2553531760821,"2025"
"312","US","Ref","iron and steel","MTCO2",2025,"value",81.8349799215807,"2025"
"313","US","1p5 delay","iron and steel","MTCO2",2030,"value",58.5900767346554,"2030"
"314","US","1p5","iron and steel","MTCO2",2030,"value",31.4194906450477,"2030"
"315","US","Ref","iron and steel","MTCO2",2030,"value",82.5452082006051,"2030"
"316","US","1p5 delay","iron and steel","MTCO2",2035,"value",33.7830468376092,"2035"
"317","US","1p5","iron and steel","MTCO2",2035,"value",13.292092886076,"2035"
