industry final energy by tech and fuel
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,chemical energy use,biomass,delivered biomass,biomass,0.0,0.0,2.93002E-4,3.76698E-4,4.097202E-4,4.646183E-4,5.396995E-4,6.510573E-4,7.617505E-4,8.2400832E-4,8.5618522E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,chemical energy use,electricity,elect_td_ind,electricity,0.00460461,0.00653019,0.0104232,0.00975336,0.01067431,0.01261448,0.016100990000000003,0.022942533,0.031345193,0.037446952,0.0422770923,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,chemical energy use,refined liquids,refined liquids industrial,refined liquids,5.44201E-4,0.0010884,8.37006E-5,0.00259529,0.002815425,0.003167319,0.0036574710000000002,0.004475833,0.005473092,0.0062014246999999995,0.0068259366,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,chemical feedstocks,gas,wholesale gas,gas,0.0691706,0.173427,0.209102,0.192708,0.20645,0.224602,0.239235,0.24526,0.246091,0.247663,0.246104,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,chemical feedstocks,refined liquids,refined liquids industrial,refined liquids,0.050818,0.0362926,0.0982036,0.0196323,0.0194582,0.0200289,0.0207223,0.021809,0.0232786,0.0239552,0.0259888,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,construction energy use,biomass,delivered biomass,biomass,0.0,0.0,4.18999E-5,4.19E-5,4.359636999999999E-5,4.509818E-5,4.5542380000000005E-5,4.451651E-5,4.267274E-5,3.9554389999999995E-5,3.607391E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,construction energy use,electricity,elect_td_ind,electricity,0.00414411,0.00866501,0.0126836,0.0064464,0.00614348,0.00736091,0.008780869,0.009934629,0.010538133,0.011098012,0.011364069,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,construction energy use,gas,wholesale gas,gas,0.0290091,0.0560506,0.0387204,0.0419856,0.04360878,0.04486645,0.04532483,0.04460282,0.04336358,0.04136561,0.03884792,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,construction energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,2.22992E-6,9.81412E-6,2.2418685E-5,3.5895446E-5,4.58939E-5,5.840946E-5,7.044293000000001E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,construction energy use,refined liquids,refined liquids industrial,refined liquids,0.00226041,0.00447901,0.0244881,0.0187951,0.01940867,0.01971308,0.019771089999999998,0.019781134,0.01995096,0.01997171,0.01993957,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,construction feedstocks,refined liquids,refined liquids industrial,refined liquids,0.0,0.0,0.0063627,0.0081627,0.0113538,0.0152151,0.0195111,0.0239626,0.0285278,0.0331593,0.0377191,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,H2 enduse,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,3.42638E-8,3.668369E-7,9.831613E-7,1.74258267E-6,2.4508955E-6,3.1846190000000003E-6,3.8329050000000005E-6,0.0,0.0,0.0,EJ,
