"","region","scenario","sector","subsector","input","technology","Units","year","value","input2"
"222","China","1p5","iron and steel","EAF with DRI","refined liquids with CCS","EAF with DRI CCS","EJ",2025,0.00932413,"refined liquids with CCS"
"223","China","1p5 delay","iron and steel","EAF with DRI","refined liquids with CCS","EAF with DRI CCS","EJ",2025,0,"refined liquids with CCS"
"224","China","1p5","iron and steel","EAF with DRI","gas with CCS","EAF with DRI CCS","EJ",2025,0.185062,"gas with CCS"
"225","China","1p5 delay","iron and steel","EAF with DRI","gas with CCS","EAF with DRI CCS","EJ",2025,0,"gas with CCS"
"226","China","1p5","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2025,0.701049,"electricity"
"227","China","1p5 delay","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2025,0.57525,"electricity"
"228","China","Ref","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2025,0.366064,"electricity"
"229","China","1p5","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2025,0.0668828,"refined liquids"
"230","China","1p5 delay","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2025,0.0548809,"refined liquids"
"231","China","Ref","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2025,0.0349239,"refined liquids"
"232","China","1p5","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2025,0.0497452,"electricity"
"233","China","1p5 delay","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2025,0.0201758,"electricity"
"234","China","Ref","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2025,0.000419332,"electricity"
"235","China","1p5","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2025,0.138025,"hydrogen"
"236","China","1p5 delay","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2025,0.0559805,"hydrogen"
"237","China","Ref","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2025,0.00116349,"hydrogen"
"238","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2030,0.23521419,"biomass"
"239","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2030,0.06628655,"biomass"
"240","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2030,0.13503139,"biomass"
"241","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2030,0.007685383,"electricity"
"242","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2030,0.002165839,"electricity"
