"","region","scenario","sector","subsector","output","technology","Units","year","share"
"155","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2050,0.0000675360088561918
"156","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2050,0.0000619989162059713
"157","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2050,2.46426076445969
"158","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2050,0.0000202874512061112
"159","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2050,0.0000220768481344391
"160","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2050,86.9571205751911
"161","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2050,7.9398965391078
"162","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2050,7.42839522305319
"163","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2050,0.000131911072158393
"164","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2050,0.000113184546305699
"165","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2050,4.72429098024838
"166","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2050,0.0000191422680186261
"167","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2050,0.00000549406710571347
"168","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2050,0.0693616867945854
"169","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2050,0.797169422703714
"170","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2050,0.609929180122344
"171","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2050,60.9143338817737
"172","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2050,63.1016900497612
"173","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2050,5.71566639624429
"174","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2050,30.3483612796146
"175","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2050,28.8597827926855
"176","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2050,0.0692995970619488
"177","EU-27","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"178","EU-27","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"179","EU-27","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"180","EU-27","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,60.7071653826579
"181","EU-27","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,60.7071653826579
"182","EU-27","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,60.7071653826579
"183","EU-27","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"184","EU-27","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
