transport final energy by tech and vintage
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,elect_td_trn,"BEV,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00330686,0.00239457,0.00165343,9.12291E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,elect_td_trn,"BEV,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00428097,0.00309994,0.00214048,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,elect_td_trn,"BEV,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00614937,0.00445289,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,elect_td_trn,"BEV,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00816785,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=1990",0.0053201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2005",0.0,0.00794227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2010",0.0,0.0,0.0120463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2015",0.0,0.0,0.0,0.016897,0.0122355,0.00844848,0.0046615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2020",0.0,0.0,0.0,0.0,0.00622353,0.0045066,0.00311177,0.00171694,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2025",0.0,0.0,0.0,0.0,0.0,0.00585173,0.00423737,0.00292587,0.00161437,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.00392522,0.00284234,0.00196261,0.00108288,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00334646,0.00242324,0.00167323,9.23215E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172929,0.00125222,8.64646E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04494E-4,2.92903E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Light truck,refined liquids enduse,"Liquids,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10367E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,elect_td_trn,"BEV,year=2020",0.0,0.0,0.0,0.0,1.84986E-8,1.33952E-8,9.24928E-9,5.10335E-9,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,elect_td_trn,"BEV,year=2025",0.0,0.0,0.0,0.0,0.0,6.55028E-4,4.7432E-4,3.27514E-4,1.80708E-4,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,elect_td_trn,"BEV,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.0048886,0.00353995,0.0024443,0.00134866,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,elect_td_trn,"BEV,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143554,0.0103951,0.00717772,0.00396036,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,elect_td_trn,"BEV,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284544,0.0206045,0.0142272,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,elect_td_trn,"BEV,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629017,0.0455485,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,elect_td_trn,"BEV,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936669,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=1990",0.0516394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2005",0.0,0.0770923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2010",0.0,0.0,0.116928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
