"","region","year","share","scenario","generation"
"492","ROW",2035,36.0362263864986,"1p5 delay","conventional"
"493","ROW",2040,84.094015188651,"1p5 delay","clean"
"494","ROW",2040,15.905984811349,"1p5 delay","conventional"
"495","ROW",2045,99.6709514061181,"1p5 delay","clean"
"496","ROW",2045,0.329048593881886,"1p5 delay","conventional"
"497","ROW",2050,99.9999479434379,"1p5 delay","clean"
"498","ROW",2050,0.0000520565620985291,"1p5 delay","conventional"
"499","ROW",2065,NA,"1p5 delay","clean"
"500","ROW",2065,NA,"1p5 delay","conventional"
"501","ROW",2080,NA,"1p5 delay","clean"
"502","ROW",2080,NA,"1p5 delay","conventional"
"503","ROW",2095,NA,"1p5 delay","clean"
"504","ROW",2095,NA,"1p5 delay","conventional"
"505","South Korea",1990,59.5585802711487,"Ref","clean"
"506","South Korea",1990,40.4414197288513,"Ref","conventional"
"507","South Korea",2005,41.2787579065185,"Ref","clean"
"508","South Korea",2005,58.7212420934815,"Ref","conventional"
"509","South Korea",2010,32.7566651920899,"Ref","clean"
"510","South Korea",2010,67.2433348079101,"Ref","conventional"
"511","South Korea",2015,33.6690687654231,"Ref","clean"
"512","South Korea",2015,66.3309312345769,"Ref","conventional"
"513","South Korea",2020,32.3402017645211,"Ref","clean"
"514","South Korea",2020,67.6597982354789,"Ref","conventional"
"515","South Korea",2025,32.4063895195885,"Ref","clean"
"516","South Korea",2025,67.5936104804115,"Ref","conventional"
"517","South Korea",2030,33.3835828771707,"Ref","clean"
"518","South Korea",2030,66.6164171228293,"Ref","conventional"
"519","South Korea",2035,34.4770754308268,"Ref","clean"
"520","South Korea",2035,65.5229245691732,"Ref","conventional"
