"","region","year","scenario","input","value","share"
"219","EU-27",2020,"Ref","electricity",119.744171235816,17.8836278109189
"220","EU-27",2020,"Ref","gas",97.2151824015004,14.5189542146083
"221","EU-27",2020,"Ref","hydrogen",0.85393781926082,0.127534442601416
"222","EU-27",2020,"Ref","refined liquids",15.9397171200691,2.38057489934329
"223","EU-27",2020,"1p5","biomass",0.0417134500374,0.00629011310401358
"224","EU-27",2020,"1p5","coal",425.90893656021,64.2242581366892
"225","EU-27",2020,"1p5","coal with CCS",0,0
"226","EU-27",2020,"1p5","electricity",119.987272819186,18.0932892483869
"227","EU-27",2020,"1p5","gas",100.789864993911,15.1984467835083
"228","EU-27",2020,"1p5","gas with CCS",0,0
"229","EU-27",2020,"1p5","hydrogen",0,0
"230","EU-27",2020,"1p5","refined liquids",16.4311943384172,2.4777157183116
"231","EU-27",2020,"1p5","refined liquids with CCS",0,0
"232","EU-27",2020,"1p5 delay","biomass",0.0417134500374,0.00629011310401094
"233","EU-27",2020,"1p5 delay","coal",425.90893656021,64.2242581366622
"234","EU-27",2020,"1p5 delay","coal with CCS",0,0
"235","EU-27",2020,"1p5 delay","electricity",119.987272819464,18.0932892484212
"236","EU-27",2020,"1p5 delay","gas",100.789864993911,15.198446783502
"237","EU-27",2020,"1p5 delay","gas with CCS",0,0
"238","EU-27",2020,"1p5 delay","hydrogen",0,0
"239","EU-27",2020,"1p5 delay","refined liquids",16.4311943384172,2.47771571831056
"240","EU-27",2020,"1p5 delay","refined liquids with CCS",0,0
"241","EU-27",2025,"Ref","biomass",0.6299326706124,0.0894957563287119
"242","EU-27",2025,"Ref","coal",462.188773278501,65.6640554791138
"243","EU-27",2025,"Ref","electricity",124.964093887306,17.7538911984104
"244","EU-27",2025,"Ref","gas",98.3612963264186,13.9743801502587
"245","EU-27",2025,"Ref","hydrogen",2.01207000132138,0.285858687690399
"246","EU-27",2025,"Ref","refined liquids",15.7125941586208,2.23231872819804
"247","EU-27",2025,"1p5","biomass",1.0239239580274,0.175958117547989
"248","EU-27",2025,"1p5","coal",325.860449021484,55.9980951159933
"249","EU-27",2025,"1p5","coal with CCS",7.837624047872,1.34687108617835
"250","EU-27",2025,"1p5","electricity",121.092869723941,20.8094294874759
"251","EU-27",2025,"1p5","gas",97.7902003284588,16.8049389112701
"252","EU-27",2025,"1p5","gas with CCS",6.00582959354872,1.03208296017482
"253","EU-27",2025,"1p5","hydrogen",5.7217321051598,0.983261698727502
"254","EU-27",2025,"1p5","refined liquids",15.965499929862,2.74362103879581
"255","EU-27",2025,"1p5","refined liquids with CCS",0.61532450198143,0.105741583836354
"256","EU-27",2025,"1p5 delay","biomass",0.3665607376928,0.0568502791755964
"257","EU-27",2025,"1p5 delay","coal",402.810831692852,62.4723432761211
"258","EU-27",2025,"1p5 delay","coal with CCS",0,0
"259","EU-27",2025,"1p5 delay","electricity",120.921935002471,18.7539063965573
"260","EU-27",2025,"1p5 delay","gas",100.678356702399,15.6143091633244
"261","EU-27",2025,"1p5 delay","gas with CCS",0,0
"262","EU-27",2025,"1p5 delay","hydrogen",4.005207926386,0.621171787803907
"263","EU-27",2025,"1p5 delay","refined liquids",15.9997598590199,2.48141909701762
"264","EU-27",2025,"1p5 delay","refined liquids with CCS",0,0
"265","EU-27",2030,"Ref","biomass",1.7072508380218,0.240125299651786
"266","EU-27",2030,"Ref","coal",468.228834916102,65.8565143362957
"267","EU-27",2030,"Ref","electricity",126.196138637108,17.7495215877275
"268","EU-27",2030,"Ref","gas",96.5047909161182,13.5734253693012
"269","EU-27",2030,"Ref","hydrogen",2.99808211513044,0.421681073596969
"270","EU-27",2030,"Ref","refined liquids",15.3482269075856,2.15873233342676
"271","EU-27",2030,"1p5","biomass",1.8755504726614,0.36855715936419
"272","EU-27",2030,"1p5","coal",190.826876550268,37.498650437228
"273","EU-27",2030,"1p5","coal with CCS",50.001701667996,9.82564073788017
"274","EU-27",2030,"1p5","electricity",128.540696153586,25.2590343622353
"275","EU-27",2030,"1p5","gas",82.0213111483214,16.1176901847147
"276","EU-27",2030,"1p5","gas with CCS",18.5543506184686,3.64604357892134
"277","EU-27",2030,"1p5","hydrogen",20.0074030059096,3.93157727589655
"278","EU-27",2030,"1p5","refined liquids",14.9888473085044,2.94540033269649
"279","EU-27",2030,"1p5","refined liquids with CCS",2.07324798109706,0.407405931063216
"280","EU-27",2030,"1p5 delay","biomass",0.8079781186042,0.137297574030284
"281","EU-27",2030,"1p5 delay","coal",343.901729565608,58.438306789477
"282","EU-27",2030,"1p5 delay","coal with CCS",0,0
"283","EU-27",2030,"1p5 delay","electricity",120.056612952991,20.4009011199635
"284","EU-27",2030,"1p5 delay","gas",95.7058317584681,16.2630375977113
"285","EU-27",2030,"1p5 delay","gas with CCS",0,0
"286","EU-27",2030,"1p5 delay","hydrogen",12.57874200743,2.13747219411888
"287","EU-27",2030,"1p5 delay","refined liquids",15.4359192284227,2.622984724699
"288","EU-27",2030,"1p5 delay","refined liquids with CCS",0,0
"289","EU-27",2035,"Ref","biomass",2.90206562998398,0.412579733613752
"290","EU-27",2035,"Ref","coal",463.23522810733,65.8570450779514
"291","EU-27",2035,"Ref","electricity",125.036749714875,17.7761758232799
"292","EU-27",2035,"Ref","gas",93.5409608935672,13.2984948130396
"293","EU-27",2035,"Ref","hydrogen",3.69199811192946,0.524882546343634
"294","EU-27",2035,"Ref","refined liquids",14.9880975791046,2.13082200577181
"295","EU-27",2035,"1p5","biomass",1.64160394939322,0.371326237651912
"296","EU-27",2035,"1p5","coal",73.916419410866,16.7196880408839
"297","EU-27",2035,"1p5","coal with CCS",104.694267644236,23.6815515230856
"298","EU-27",2035,"1p5","electricity",127.683610924029,28.8816768939641
"299","EU-27",2035,"1p5","gas",56.8554377073332,12.8605415342234
"300","EU-27",2035,"1p5","gas with CCS",31.8025777114863,7.19365443388687
"301","EU-27",2035,"1p5","hydrogen",29.2591026850412,6.61832747242303
"302","EU-27",2035,"1p5","refined liquids",12.5555454832811,2.84002939180154
"303","EU-27",2035,"1p5","refined liquids with CCS",3.68353111987809,0.833204472079661
"304","EU-27",2035,"1p5 delay","biomass",1.39801944341466,0.289729161079577
"305","EU-27",2035,"1p5 delay","coal",199.82549041582,41.4123508605013
"306","EU-27",2035,"1p5 delay","coal with CCS",38.15070829832,7.90645134581682
"307","EU-27",2035,"1p5 delay","electricity",117.053337697873,24.2584360986675
"308","EU-27",2035,"1p5 delay","gas",76.4853171611437,15.8510147197078
