hydrogen production by tech
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 central production,nuclear,thermal splitting,0.0,0.0,1.63253E-5,2.28372E-4,5.63948E-4,9.68299E-4,0.00136858,0.0016828,0.00191217,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 central production,solar,electrolysis,0.0,0.0,1.56371E-5,2.19592E-4,5.44613E-4,9.39508E-4,0.00133459,0.00165004,0.00188582,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 central production,wind,electrolysis,0.0,0.0,1.41398E-5,1.94308E-4,4.73665E-4,8.07765E-4,0.00113886,0.00140383,0.00160625,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 forecourt production,electricity,electrolysis,0.0,0.0,1.19851E-5,1.80191E-4,5.03446E-4,9.45361E-4,0.00138772,0.0017634,0.00202575,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,1.37822E-4,0.00202146,0.00541903,0.00985342,0.01422,0.0181785,0.0213404,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 central production,biomass,biomass to H2,0.0,0.0,7.05016E-5,4.45348E-4,0.00145614,0.00346596,0.00531499,0.00669313,0.00771542,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 central production,coal,coal chemical,0.0,0.0,4.01255E-4,0.0026006,0.00842074,0.0204564,0.0334863,0.0452895,0.0560561,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 central production,electricity,electrolysis,0.0,0.0,2.26348E-6,1.51803E-5,5.31768E-5,1.329E-4,2.17449E-4,3.03873E-4,3.83805E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 central production,gas,natural gas steam reforming,0.0,0.0,5.31246E-4,0.00326886,0.0109001,0.0254227,0.0381483,0.0492612,0.0571011,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 central production,nuclear,thermal splitting,0.0,0.0,6.61623E-5,4.12377E-4,0.00129152,0.00294269,0.00448475,0.0056827,0.00655006,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 central production,solar,electrolysis,0.0,0.0,6.33732E-5,3.96523E-4,0.00124724,0.00285519,0.00437338,0.00557207,0.00645978,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 central production,wind,electrolysis,0.0,0.0,4.0461E-5,2.42333E-4,7.40424E-4,0.0016709,0.00254639,0.00332804,0.00393539,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 forecourt production,electricity,electrolysis,0.0,0.0,4.9817E-5,3.09879E-4,0.0010146,0.00237505,0.00364321,0.00478367,0.00566001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",China,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,3.85585E-4,0.00242771,0.00834885,0.0202496,0.0315275,0.0426988,0.0521321,0.0,0.0,0.0,EJ,
