IRONSTL production by tech
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,5.28126E-6,2.264465E-5,5.5424E-5,5.7091098E-5,1.6229159699999999E-6,6.054181E-8,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,1.33131E-6,3.6791550000000005E-5,7.6727134E-5,9.342368400000001E-5,5.4202430000000003E-5,4.789689E-7,9.868962E-9,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.9181,0.9217,0.9016,1.0652,1.143694,1.0030960000000002,0.606189,0.28135829999999995,0.09727233,0.0040266491,1.7944717200000002E-4,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0855302,0.2084711,0.35439410000000005,0.5095787999999999,0.5790225,0.3608407,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.118293,0.362364,0.5891136,0.769631,0.956306,1.3705445,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.28949,0.2912,0.2849,0.3366,0.3518891,0.5152353000000001,0.681146,0.8087208,0.9340173,1.077402,1.2961962,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,4.454,4.625,3.376,3.62,4.55048,0.8712969999999999,0.5699890999999999,0.22671575,0.03328321,3.3194745E-4,1.75032891E-6,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.0984114,0.24020819999999998,0.496386,0.7354316000000001,0.5533596000000001,0.3133508,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,1.11064,2.005606,2.965964,2.869301,1.6862887,0.58984242,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.15106,6.3315019999999995,7.4078154,6.1651962,3.4781479999999996,1.2061144800000003,0.290465227,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.203,0.57,1.2742,0.846,0.897309,0.12541684,0.07770413999999999,0.1154367,0.1314223,0.023416549000000002,8.487626000000001E-4,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0287145,0.03918273,0.1264063,0.32344285,0.53979713,0.522543,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.510969,1.016908,2.529751,5.3156605,8.850208,11.383565,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central Asia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.0642,0.1802,0.4018,0.2668,0.36129900000000004,0.2103509,0.3133884,0.5027239,0.880563,1.1261794,1.0136768,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR,98.9,314.0,572.0,756.0,955.212,750.2591,444.01790000000005,166.2082,53.17276499999999,1.1022096300000002,0.00295844272,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,22.2081,132.302,236.30599999999998,189.9006,115.6162,47.570220000000006,0.0,0.0,0.0,Mt,
